Khmer,Math,Biology,History,Chemistry,Physics,English,Interest,Major
C,B,A,B,B,A,A,Focusing on Problem Solving and Version Control,Software Engineering
B,A,B,A,A,A,B,I want to apply my Algorithms skills in the field of Software Engineering,Software Engineering
B,C,F,B,C,A,B,I want to study Software Engineering,Software Engineering
C,B,A,B,A,A,D,How can I study Software Engineering?,Software Engineering
B,B,B,B,A,A,F,I am looking for a career in Full Stack Developer,Software Engineering
B,A,A,A,A,A,C,I am looking for a career in Backend Developer,Software Engineering
A,A,D,C,B,A,E,I want to study Software Engineering,Software Engineering
B,A,A,B,C,A,B,coding and building apps,Software Engineering
A,B,B,C,B,B,F,Researching Software Engineering opportunities,Software Engineering
D,A,C,B,A,A,E,My goal is to become a Full Stack Developer,Software Engineering
C,A,A,B,A,A,B,My goal is to become a System Architect,Software Engineering
B,B,B,B,A,A,B,Focusing on Programming and System Design,Software Engineering
B,A,A,C,A,A,A,Focusing on Algorithms and Problem Solving,Software Engineering
C,C,D,A,D,A,C,Focusing on Algorithms and Mathematics,Software Engineering
C,B,A,C,E,A,C,I love build apps,Software Engineering
B,A,B,B,A,A,C,Software Engineering seems like a good fit for me,Software Engineering
D,C,D,D,F,A,A,I am looking for a career in System Architect,Software Engineering
B,C,F,A,B,A,F,Helping with Problem Solving in Software Engineering,Software Engineering
D,A,A,B,A,A,B,I want to apply my Version Control skills in the field of Software Engineering,Software Engineering
B,A,A,C,B,A,B,tech and software,Software Engineering
D,A,C,F,E,D,E,"Learning more about Professional study of building software systems, application...",Software Engineering
B,A,B,B,A,A,B,mathematics software engineering backend,Software Engineering
B,B,B,B,A,A,B,My goal is to become a System Architect,Software Engineering
A,B,D,E,E,A,D,I enjoy math and Programming,Software Engineering
B,B,A,C,B,A,B,coding and building apps,Software Engineering
B,A,A,B,A,A,A,I'm passionate about logic,Software Engineering
C,B,B,C,C,A,B,Helping with Version Control in Software Engineering,Software Engineering
B,A,C,A,A,A,B,programming and apps,Software Engineering
C,A,A,C,B,A,B,Interested in Software Engineering and web development,Software Engineering
C,C,C,C,E,B,F,Software Engineering seems like a good fit for me,Software Engineering
B,B,C,C,D,A,B,Software Engineering,Software Engineering
B,A,C,A,A,A,B,tech and software,Software Engineering
B,A,D,B,B,A,A,Frontend Developer career path,Software Engineering
B,A,B,D,C,B,F,I am interested in Software Engineering,Software Engineering
A,A,A,B,A,A,D,Software Engineering seems like a good fit for me,Software Engineering
B,A,A,A,A,A,D,I want to work with code,Software Engineering
B,C,A,A,C,A,A,App Developer career path,Software Engineering
C,C,B,B,C,A,C,How can I study Software Engineering?,Software Engineering
E,C,D,D,B,A,E,Focusing on Programming and System Design,Software Engineering
E,C,F,B,B,A,C,Researching Software Engineering opportunities,Software Engineering
B,A,A,D,A,A,A,Software Engineer career path,Software Engineering
B,B,A,C,B,A,E,tech and software,Software Engineering
C,C,E,E,B,B,D,Researching Software Engineering opportunities,Software Engineering
B,C,C,C,F,A,F,Software Engineering seems like a good fit for me,Software Engineering
A,A,A,C,B,A,D,Helping with System Design in Software Engineering,Software Engineering
B,A,B,B,B,A,D,"Learning more about Professional study of building software systems, application...",Software Engineering
D,C,F,E,B,A,B,I'm passionate about critical thinking,Software Engineering
D,B,A,C,B,A,A,Helping with Version Control in Software Engineering,Software Engineering
B,B,B,A,D,A,D,javascript and python developer,Software Engineering
B,C,E,C,B,A,D,I want to work with programming,Software Engineering
C,C,D,C,B,A,B,Study Software Engineering,Software Engineering
A,A,B,B,C,B,A,"Learning more about Professional study of building software systems, application...",Software Engineering
C,A,B,C,D,B,B,"Good at Programming, want to be a Backend Developer",Software Engineering
B,B,B,B,D,A,C,Software Engineering seems like a good fit for me,Software Engineering
B,B,B,B,B,A,B,System Architect career path,Software Engineering
C,B,A,A,B,A,D,"software developer, software engineering",Software Engineering
B,C,B,B,D,A,E,Helping with Version Control in Software Engineering,Software Engineering
E,C,F,E,E,C,F,I want to improve my skills in Algorithms,Software Engineering
E,C,F,E,E,C,F,My goal is to become a Frontend Developer,Software Engineering
B,A,A,C,C,A,B,"Good at Mathematics, want to be a Full Stack Developer",Software Engineering
C,B,B,E,E,B,B,Helping with Problem Solving in Software Engineering,Software Engineering
B,B,C,C,B,A,B,"Good at Programming, want to be a Frontend Developer",Software Engineering
F,A,A,D,B,A,F,Helping with Algorithms in Software Engineering,Software Engineering
C,B,C,C,A,A,B,Is Software Engineering a good major?,Software Engineering
B,A,A,C,B,A,A,My goal is to become a Software Engineer,Software Engineering
C,B,B,C,C,A,B,javascript and python developer,Software Engineering
B,C,A,C,D,B,B,Study Software Engineering,Software Engineering
C,A,B,A,A,A,B,I want to improve my skills in Algorithms,Software Engineering
C,B,C,B,A,B,D,I'm passionate about tech,Software Engineering
B,C,C,B,E,A,F,"Good at Version Control, want to be a Full Stack Developer",Software Engineering
C,C,D,C,C,A,B,Study Software Engineering,Software Engineering
A,B,B,A,A,A,B,I want to study Software Engineering,Software Engineering
B,C,B,C,B,A,C,Focusing on Programming and System Design,Software Engineering
B,A,A,B,C,A,C,javascript mobile development programming,Software Engineering
C,B,A,A,B,A,D,"software developer, critical thinking",Software Engineering
C,A,B,B,C,A,C,I am looking for a career in Frontend Developer,Software Engineering
C,B,C,C,D,A,A,"mathematics, apps",Software Engineering
B,C,C,B,E,A,F,I am looking for a career in App Developer,Software Engineering
B,B,B,C,A,A,C,I want to apply my System Design skills in the field of Software Engineering,Software Engineering
D,B,D,B,C,B,E,tech and software,Software Engineering
A,A,A,C,B,A,D,mobile development code backend,Software Engineering
C,C,A,C,B,A,A,Interested in Software Engineering and mobile development,Software Engineering
B,B,B,C,A,A,C,javascript and python developer,Software Engineering
C,B,B,D,A,A,B,Researching Software Engineering opportunities,Software Engineering
B,B,B,B,D,A,C,I want to work with mobile development,Software Engineering
C,B,B,B,C,A,A,I am interested in Software Engineering,Software Engineering
C,C,A,C,B,A,D,I enjoy logic and System Design,Software Engineering
C,C,E,B,F,A,F,"software development, software developer",Software Engineering
A,B,B,C,B,A,F,I am interested in Software Engineering,Software Engineering
B,B,B,B,C,A,C,I love frontend,Software Engineering
D,C,D,E,C,A,A,I want to apply my Problem Solving skills in the field of Software Engineering,Software Engineering
A,A,B,C,C,A,D,Helping with Mathematics in Software Engineering,Software Engineering
B,B,A,C,B,A,B,I'm passionate about software development,Software Engineering
B,A,A,B,A,A,A,programming and apps,Software Engineering
C,B,C,A,C,A,A,Is Software Engineering a good major?,Software Engineering
C,C,D,C,D,A,B,How can I study Software Engineering?,Software Engineering
D,B,A,B,A,A,B,Study Software Engineering,Software Engineering
C,B,A,C,B,A,A,Interested in Software Engineering and web development,Software Engineering
C,A,B,A,A,A,B,critical thinking tech mathematics,Software Engineering
B,C,A,B,C,A,D,Researching Software Engineering opportunities,Software Engineering
B,C,B,E,E,A,C,I want to apply my Programming skills in the field of Software Engineering,Software Engineering
A,A,B,A,A,A,C,Is Software Engineering a good major?,Software Engineering
A,B,A,B,B,A,F,I want to study Software Engineering,Software Engineering
C,B,A,B,B,A,A,tech and software,Software Engineering
E,C,E,C,C,B,B,programming and apps,Software Engineering
B,B,A,C,A,B,C,"Good at Algorithms, want to be a App Developer",Software Engineering
C,B,B,B,B,A,D,I enjoy computer science and Mathematics,Software Engineering
E,B,A,C,B,A,C,"code, math",Software Engineering
B,A,C,C,B,A,C,Study Software Engineering,Software Engineering
C,A,B,B,B,B,C,I want to improve my skills in Problem Solving,Software Engineering
B,A,B,B,C,A,D,"Good at Mathematics, want to be a System Architect",Software Engineering
C,B,A,C,B,A,A,Interested in Software Engineering and code,Software Engineering
C,A,B,B,A,A,B,I'm passionate about algorithm,Software Engineering
B,A,A,C,A,B,C,I am interested in Software Engineering,Software Engineering
A,A,B,C,C,A,D,"Learning more about Professional study of building software systems, application...",Software Engineering
A,B,B,B,C,A,B,"backend, programming",Software Engineering
B,C,D,C,C,A,B,javascript and python developer,Software Engineering
A,B,F,B,C,A,B,I enjoy math and Programming,Software Engineering
D,A,A,C,B,A,B,How can I study Software Engineering?,Software Engineering
C,B,B,B,B,A,D,Software Engineering seems like a good fit for me,Software Engineering
B,B,E,E,C,A,B,I want to improve my skills in Mathematics,Software Engineering
D,C,E,B,C,A,B,Software Engineering seems like a good fit for me,Software Engineering
B,C,A,B,C,A,B,Frontend Developer career path,Software Engineering
B,A,B,D,C,B,F,My goal is to become a Full Stack Developer,Software Engineering
D,B,B,D,A,A,C,I am interested in Software Engineering,Software Engineering
A,A,A,A,B,A,A,software developer math python,Software Engineering
B,B,C,A,C,A,B,"apps, logic",Software Engineering
B,C,E,C,C,A,F,coding and building apps,Software Engineering
B,B,B,B,D,A,D,Researching Software Engineering opportunities,Software Engineering
C,B,B,D,A,A,B,"Learning more about Professional study of building software systems, application...",Software Engineering
C,B,B,C,C,A,C,How can I study Software Engineering?,Software Engineering
B,A,A,B,B,A,B,How can I study Software Engineering?,Software Engineering
B,C,B,C,A,A,F,coding programming software development,Software Engineering
B,B,B,B,C,A,C,tech and software,Software Engineering
A,C,B,B,F,A,D,Software Engineering seems like a good fit for me,Software Engineering
A,A,C,C,C,A,C,coding and building apps,Software Engineering
C,B,D,D,C,A,A,Software Engineering,Software Engineering
C,A,A,D,A,A,D,I'm passionate about javascript,Software Engineering
E,B,E,C,C,A,B,coding and building apps,Software Engineering
B,A,A,A,A,A,B,How can I study Software Engineering?,Software Engineering
C,B,C,D,C,A,B,programming and apps,Software Engineering
